ch1,ch2
5446,14893
4370,15232
5703,16864
7998,16115
9886,14882
10836,13294
10440,11558
8836,9893
6581,8748
4393,7831
7210,6905
6155,7535
5297,7283
14472,7675
16208,8800
17580,9346
18453,9297
18875,8758
18860,7928
18506,7017
4983,7172
4733,7761
4507,8199
4484,8147
4538,7477
4447,7211
4500,9289
4536,10552
4514,10711
4422,9896
4231,8444
3949,6757
5294,6730
4275,9334
4728,11464
4847,13341
4716,14645
4457,15310
4172,15463
3941,15298
3799,14893
3769,14204
3768,13165
3778,10320
4045,12194
4376,14874
4461,16521
4255,16970
3821,16375
4371,10936
5385,10116
6008,9716
5996,9711
5372,10081
4400,10777
4812,17201
7560,17147
10769,16131
13571,14388
14948,12243
14333,10033
12014,8341
8839,6973
8582,7544
7171,8347
5976,8335
4932,7448
13527,8517
15279,10343
16595,11402
17727,11535
18426,10836
18750,9649
18728,8306
18617,7058
4356,7630
4376,10191
4354,11940
4296,12383
4169,11607
3967,9958
4166,8610
4535,8081
4535,7692
4163,7459
4293,10767
4759,12665
4893,14145
4770,14963
4509,15158
4226,14966
3970,14573
3838,14087
3764,13418
3961,8311
4393,10851
4687,12884
4699,14213
4438,14509
3981,13722
5791,15057
9153,15200
13074,14269
16483,12474
18074,10280
17268,8341
14412,6733
11309,7493
10085,8942
8529,9940
6936,10122
5581,9353
4478,7803
12311,7500
14335,9800
15886,11645
17012,12483
17757,12120
18258,10827
18506,9100
18630,7410
4365,7629
4310,10297
4209,12213
4061,12826
3887,12110
4277,9827
5558,9240
6763,8740
7519,7925
7672,7284
7132,6795
4177,11708
4647,13096
4804,14012
4705,14286
4475,14045
4199,13471
3915,12794
3786,12085
4145,7547
4499,9546
4720,11160
4683,11915
4426,11994
4036,11160
4647,10132
6967,11445
10237,11895
14408,11369
18038,10060
19691,8343
18732,6962
11692,7386
11912,9162
11259,10848
9959,12083
8331,12511
6683,11891
5243,10298
4116,8102
13200,7102
15071,9165
16436,10757
17326,11319
17861,10704
18204,9214
18447,7415
4428,7499
4287,9804
4087,11364
3854,11765
4041,12225
5776,10558
7872,9700
10041,9022
11505,7988
11870,6896
3953,7363
3915,7466
3762,7302
4081,11856
4538,12615
4674,12967
4542,12813
4351,12198
4082,11402
3772,10591
4511,7589
4584,8653
4461,9108
4249,9159
3972,8476
7839,7818
11021,8584
15353,8661
18935,8066
20401,7111
8300,6677
10235,8641
11407,10707
11634,12660
10992,14150
9710,14847
8108,14470
6493,12980
5085,10653
3995,8154
15850,6890
16953,8035
17588,8406
17938,7864
18181,6668
4514,7174
4283,8759
3987,9572
3850,7415
4806,13546
7412,11580
10556,10780
13598,9859
15674,8633
16256,7345
4405,7483
4179,9180
4108,9515
4041,8448
4063,8259
4026,8548
3906,9167
3877,10320
4020,11514
4491,11682
4656,11545
4550,11100
4233,10372
3908,9400
15351,6733
18766,6854
7764,8650
9620,11052
10793,13316
11081,15135
10520,16178
9334,16204
7832,15074
6313,12934
4982,10202
3951,7759
4263,7257
3909,7269
3893,6687
5570,14322
8710,13241
12484,12671
16145,11499
18681,10133
19442,8697
18541,7433
4193,7442
4908,9804
4895,12302
4164,14343
5434,7640
5126,9034
4725,10263
4385,11121
4276,11892
4183,11465
4150,11502
4066,11749
3917,12339
3984,11120
4442,10840
4646,10334
4579,9517
4272,8533
3811,10427
16713,6814
4953,7107
6834,9304
8520,11700
9639,13880
10000,15412
9594,16034
8605,15613
7313,14132
5982,11817
4809,9272
3895,6930
5818,15264
9050,15621
12918,15168
16682,13995
19366,12535
20292,10970
19550,9558
17747,8467
15532,7719
13646,7235
12210,6867
11146,6715
10381,7284
9773,8184
9143,9018
8307,9418
7183,9412
5818,9166
4377,8870
6768,8555
7994,10998
7969,13445
6675,15183
4750,15556
5126,7338
5074,7794
5110,7811
5151,7721
5182,7664
5184,7879
5281,8556
5318,9973
5189,11708
4941,13186
4759,14092
4537,14371
4415,14230
4439,14024
4280,14018
3844,14316
3955,10858
4405,10227
4630,9250
4585,8201
