ch1,ch2
14791,6191
15586,6168
16172,6136
16598,6110
17343,6103
18289,6129
19396,6202
20624,6326
22115,6489
23500,6663
24485,6799
24992,6845
25031,6762
25355,6533
25743,6173
18997,6263
18307,6801
18058,7385
18517,7911
19120,8073
19844,7889
21035,7487
21998,6974
22645,6378
14092,6152
22951,6174
23536,6180
16346,6134
16249,6646
16433,6940
17653,7430
18934,7632
20140,7502
21135,7101
21807,6546
14063,6280
13860,6377
13383,6212
12709,6173
12265,6131
16306,6206
17937,6478
19444,6621
20599,6474
14315,6472
14502,6936
14326,7235
13814,7225
13072,7140
12242,7174
11451,6726
10788,6165
15052,6481
14505,7223
14138,7660
13651,7896
12907,7581
12077,7759
11318,7461
10741,6871
10398,6632
15324,6248
14913,7250
14097,7904
13055,8237
12128,8209
11380,7909
10719,7843
10271,7315
10107,6958
10253,6520
14352,7126
13723,8065
12836,8519
11917,8521
11146,8213
10652,7869
10503,7566
10720,6916
11288,6650
12168,6149
12451,6116
11720,6124
12937,7017
12477,7970
11855,8646
11184,8782
10659,8425
10406,7784
10508,7419
10999,6937
11890,6443
13147,6117
5676,6712
6452,6883
7360,6734
8532,6298
12893,6588
12241,6820
11520,6657
11562,6444
12462,6167
12561,6645
11864,7589
11220,8224
10777,8495
10633,8316
10841,7794
11419,7038
12350,6502
22559,6121
7597,6510
8305,6863
9115,6939
10148,6835
11501,6399
12322,6530
12138,6698
11877,6902
11639,7158
11504,6994
12049,6523
10946,6538
10607,7133
10466,7427
10626,7381
11343,7067
12436,6692
13717,6213
25452,6393
25514,6748
25167,6681
23589,6343
10623,6313
11248,6637
12029,6678
13125,6425
11907,6130
11861,6626
11710,6730
11506,6655
11300,6855
11780,6683
12767,6254
26920,6413
27696,7175
27367,7554
25779,7533
24813,7182
22951,6609
14173,6153
14884,6136
27915,6409
27172,7025
27515,7706
28181,8042
27644,8048
25739,7776
23049,7300
21160,6695
8899,6157
9001,6537
9013,6668
9278,6511
29259,6714
29497,7406
28492,7908
26776,8106
27233,8045
26475,7786
24506,7383
21615,6946
18988,6418
16741,6156
14173,6130
8621,6404
8838,7018
9088,7420
9272,7514
9313,7249
9215,6645
29146,6425
28486,7013
29705,7611
29728,7879
28439,7867
25999,7662
25264,7524
24463,7296
22718,7347
20280,7450
17494,7336
15471,7208
13597,6928
11580,6796
9716,6549
8231,6370
6616,6137
12871,6171
14960,6163
8748,6618
8924,7227
9026,7620
9055,7690
9298,7436
9418,6889
31074,6709
31155,7368
29905,7760
28866,7875
28670,8189
27310,8533
25037,8402
22803,8574
22210,8507
20941,8719
19178,8530
17108,8332
14850,7948
13534,7662
11997,7320
10181,6947
8835,6664
7257,6277
11936,6253
13832,6430
15693,6431
17393,6207
9207,6641
9542,7033
9807,7358
10025,7299
10236,6808
31731,6574
31170,7418
31790,7947
31557,8572
30051,8760
27507,9226
26641,9402
25539,9194
23784,9548
21603,9372
20147,9651
19525,9428
18508,9236
17124,8836
15410,8436
13852,8098
12620,7559
10939,7272
9486,6815
7904,6207
9945,6169
11665,6448
13374,6635
15000,6808
16496,6694
17772,6397
9832,6467
10259,6534
10659,6205
16730,6503
17588,6899
18124,6765
18224,6107
31207,6496
32862,7473
33206,8256
32185,9098
30737,9559
30274,9585
28797,10089
26582,10057
24195,9979
23609,10229
22614,9978
21250,10258
19525,9999
18572,9867
18242,9488
17406,9064
16083,8773
14283,8145
13202,7867
11624,7347
10066,6618
8506,6149
11506,6572
13332,6906
14996,7148
16436,7230
17556,7111
18301,6699
16223,6302
15929,7064
16608,7134
17032,6503
16992,6301
31823,6243
32268,7239
