ch1,ch2
37793,14053
37168,12492
36220,10723
34834,12402
33030,13989
31201,15087
29042,16892
26781,18004
25799,18162
25406,17552
24791,17214
23834,16344
22593,15432
21160,15188
19660,15661
18231,16139
16949,17918
15792,20623
14693,23298
13576,25789
12389,28047
11073,30072
9656,34877
8189,40579
6791,45846
6664,20903
7215,19423
7775,19091
8361,19493
9048,20633
10050,22477
10928,24939
11582,27835
12029,31038
12385,35657
12800,39232
13416,41166
14285,41158
15390,39279
16616,35921
17777,31660
18667,27092
19191,22707
19332,21905
19177,23517
18881,25256
18614,26845
18486,28003
18592,28523
18945,28307
19538,27381
20305,25877
21166,24005
22024,22303
22833,20698
23645,19362
24469,18422
25394,18790
26406,20359
27535,21716
28704,22680
29760,23135
30584,23879
31111,24220
31360,24099
31445,23761
31593,23131
32026,22423
32934,22737
34402,25050
36366,27948
38582,31031
40640,33786
42027,35642
42241,36180
42422,37877
42912,38938
42236,37962
40461,35098
37900,31038
35036,26653
32394,22700
30751,19642
30568,18511
31319,18627
32971,19333
35354,20624
38154,23516
40958,27232
43312,31184
45005,35690
46416,39836
46610,43407
45777,44801
44325,43663
42969,40173
42980,35052
43744,29310
45196,23923
47600,19537
50697,16402
53364,14500
55136,13655
55687,14066
54979,14915
53264,15566
50944,15615
48458,15344
46202,14588
44344,13403
42923,12561
41823,11559
40905,10633
40011,9990
39089,10411
38194,11334
37464,12410
37096,13361
37246,13842
38014,13586
39369,13175
41157,12538
43104,11259
44842,9664
46062,8140
46587,7677
46384,8288
45604,9550
44957,11315
44339,13173
43842,14523
43409,14792
42944,13825
42313,12030
41372,10955
40075,10015
38514,9990
36817,11514
35176,13579
33704,15303
32435,16353
31332,16780
30207,17514
28928,17626
27361,17488
25491,17518
24021,18059
23259,19283
22653,21141
22165,23383
21701,25535
21110,27841
20247,30180
19026,31097
17407,34178
15479,41321
13405,48151
11313,53544
9309,58521
7494,61664
6716,33271
7177,33603
7486,32838
8154,31291
9057,29351
9871,27400
10594,25783
11244,24698
11853,24268
12472,24518
13139,25342
13859,26615
14597,28189
15258,29927
15752,33436
16071,37010
16277,39829
16715,41436
17710,41486
18973,39846
20372,36666
21708,32370
22777,27548
23435,23048
23652,24295
23528,25880
23273,27619
23041,29252
22978,30509
23159,31163
23563,31088
24194,30288
24938,28889
25739,27105
26537,25183
27292,23350
28072,22093
28894,21192
29859,20562
30958,20253
32130,20269
33254,20573
34153,21085
34623,21676
34589,22202
34082,22599
33302,22715
32523,22386
32019,22293
32786,22762
34337,24873
36128,27280
37983,29605
39727,31429
41136,32338
41979,34587
42815,36325
42649,37402
41361,37027
39054,34658
36093,30833
33371,26646
32082,23419
31524,20773
31279,18879
31391,17779
32044,19468
33709,22258
35727,25750
37905,29526
40280,33032
41911,35900
42588,39397
42362,41427
41508,43049
40467,42852
40476,40353
41115,36017
42524,30756
44679,25550
47380,21127
50235,17860
52767,15796
54504,15541
55129,15930
54576,16551
53047,17002
50964,16920
48701,16194
46649,15588
45000,14384
43747,12817
42787,12146
41925,11497
41044,11057
40073,10975
39094,11313
38256,12049
37752,13017
37768,13934
38397,14397
39639,14050
41394,12802
43451,10923
45513,8891
47255,7136
49072,6899
49079,8485
48644,10688
47953,13072
47092,14854
46107,15274
44978,14115
43677,12271
42162,11611
40470,10233
39044,8703
38083,8096
37335,10059
36891,12032
36717,13714
36706,15138
36663,16928
36334,18171
35583,18992
34338,19757
32698,20729
30840,22101
28919,23776
27068,25533
25654,28324
26143,30789
26329,32177
26057,31934
25207,31312
23731,38464
21749,46149
19350,52500
16687,56379
13930,58388
11224,58677
8721,55958
6590,50812
7142,22809
8330,26351
9351,29381
10110,31645
10609,32973
11030,33309
12293,32744
13409,31554
14356,30122
15133,28829
15758,27989
16310,27782
16875,28157
17511,28979
18228,30014
18979,31070
19653,33606
20136,36238
20402,38567
20528,40366
20640,41324
21228,41179
22611,39676
24164,36768
25681,32695
26934,27960
27745,24566
28075,26075
28044,27794
27820,29491
27565,30902
27434,31802
27469,32042
27685,31593
27996,30521
28330,30217
28631,29534
28892,28456
29146,27168
29429,25848
29882,24639
30496,23638
31335,23252
32232,23736
33021,23981
33487,24240
33419,24721
33174,25120
33583,25295
33795,25124
33827,24589
33760,23906
33720,23614
34524,23673
35565,24794
36705,26459
38231,28420
39471,30365
40165,32736
40135,34726
39287,35609
37702,35040
35836,33026
34552,29969
33177,26482
32114,23166
31568,20454
31500,18562
31487,18699
31564,20691
31785,23557
32892,27060
34294,30819
36247,34327
37679,37040
38397,38471
38408,40411
37961,40969
37397,39653
37077,37881
37538,34259
38919,29569
41018,24753
43691,20574
46625,17543
49388,16379
51510,16004
52644,16186
52647,16611
51651,16950
49974,16913
48019,16308
46154,15525
44609,14745
43448,13605
42618,12363
41949,11397
41299,11228
40562,11302
39760,11702
38986,12408
38402,13262
38182,13930
38453,14018
39278,13233
40616,11603
42343,9504
44253,7441
48973,7770
48831,10502
48203,13490
47216,15735
45932,16243
44433,14797
43164,13593
42071,12495
40817,10546
39609,8489
38570,6877
37846,6990
37547,8849
37627,10750
38012,12951
38466,15472
38747,17599
38755,19280
38504,20685
37842,22035
36964,23439
36015,25137
35128,27786
34335,30335
33590,32237
32760,32837
31731,31744
30393,29115
28675,33015
27630,40646
26029,47138
23725,51347
20830,53059
17568,52488
14538,49274
12162,45568
9919,40691
7849,35339
6390,17810
7873,18883
9527,19335
11202,21428
12709,25560
13915,29084
14703,31643
15089,33063
15622,33342
17040,32697
18222,31505
19182,30184
19930,29249
20525,28778
21040,29025
21567,30071
22194,31728
22915,33772
23671,35904
24326,37855
24782,39449
24985,41399
25014,43145
25020,43539
25211,42310
25742,39425
26744,36639
28218,32859
29533,28399
31030,23816
32229,24884
32958,26306
33164,27596
32948,28546
32483,29365
31968,30654
31547,31509
31289,31829
31218,31584
31275,30832
31431,29691
31581,28314
31672,26845
31674,25409
31604,25113
31511,25849
31613,26124
31850,26114
32152,26142
32441,26282
32596,26405
32478,26388
32037,26101
31426,25513
31563,24745
32182,24472
33048,24489
34116,24968
35282,25979
36437,27455
37640,29162
38420,30753
38566,31819
37980,32053
36681,31288
34812,29606
32674,27296
31352,24736
31060,22291
31147,20217
31229,18664
31325,18632
31427,20647
31562,23442
31730,27013
31953,30571
32216,33614
33053,36139
33808,37488
34027,37378
33847,37534
33532,36375
33918,33515
34380,29715
34974,25720
36068,21564
38221,18397
40734,16366
43209,15605
45222,15589
46409,15762
46605,15906
45888,15840
44539,15697
42926,15529
41392,14983
40148,14102
39265,13573
38669,12923
38224,12298
37782,11872
37265,11761
36672,11996
36097,12503
35692,13049
35740,13306
36137,12885
36920,11588
38085,9583
39643,7334
46608,7235
46788,10398
46537,13886
45951,16484
45099,17023
44043,15331
42803,15427
41428,13725
39996,11075
38641,8461
36674,7780
37822,10334
39106,13015
40303,15507
41202,17667
41699,19464
41809,21059
41625,22479
41217,24995
40734,27650
40218,30026
39615,31655
39219,31960
39276,30605
38896,27808
37965,31757
36526,35208
34654,40772
32440,46327
29935,49609
27210,49902
24221,47427
21025,42942
17718,37368
14446,32605
11408,31187
8756,28813
6558,25862
6478,17106
7572,17547
8987,17663
10744,17042
12770,16041
14887,17241
16876,21241
18508,24780
19593,27431
20120,28982
20139,31229
21087,32692
22468,33253
23540,33065
24342,32506
25115,31987
26060,31882
26605,32483
26845,33782
26956,35669
27278,37835
27964,39890
28552,41469
28929,43225
29032,45131
28909,46195
28764,46095
