ch1,ch2
6831,8447
6646,7466
2185,6764
3213,6992
3912,6554
8497,6473
8016,6940
7516,6955
6909,6450
2442,8581
3196,10861
3843,12098
4345,11989
4659,10631
4685,8449
4463,6273
4814,7053
5624,8702
6262,9853
6377,10104
5850,9279
4755,7546
2682,7664
3318,7466
3269,6533
7946,6443
7848,6900
7934,7109
7946,6910
7971,6245
3146,7125
4127,9042
4927,10200
5418,10223
5512,9223
5221,7781
4663,6628
5211,7640
5781,9539
6000,10941
5747,11406
4935,10692
3746,8963
2488,6476
2282,8142
2833,8022
2787,7158
6296,6754
6553,7080
6767,7120
7235,6847
7727,6228
3812,6309
5021,7041
5766,8112
6033,8485
6177,8444
5817,8204
5075,7418
4400,6292
5149,7987
5635,9927
5652,11447
5240,12018
4556,11520
3425,9760
2166,7114
1988,8604
2461,8385
2410,7446
4122,6303
4536,6744
4891,6901
5255,6812
5987,6486
3372,6368
6041,6401
6883,7444
7244,8199
6961,8694
6216,8079
5264,6390
4495,7610
5017,9592
5096,11091
4630,11762
3899,11438
2811,9732
2207,8599
2191,7519
7416,6745
7766,8033
7593,8726
7001,8308
6218,6757
3353,6753
3845,8533
3969,9885
3556,10754
2762,10447
1933,8942
2187,8677
2212,7424
8161,6561
10521,6622
7471,6231
7721,7467
7627,8197
7240,7951
6650,6531
2469,7152
2540,8472
2278,9116
4385,6387
2316,8502
2454,7284
6875,6500
9637,7390
12339,7382
13995,6423
4112,6633
3877,6743
7416,6565
7225,7184
6936,6995
7971,6315
6857,6911
4961,6511
2124,8514
2615,7988
2845,6950
7806,6757
10723,7500
13428,7414
15318,6392
3275,6358
3111,7068
2876,7301
2627,6753
10539,6608
9309,7159
6848,6823
1899,7648
2563,7617
3075,7234
3273,6449
8293,6564
11118,7135
13523,6952
2474,6986
2213,7429
1948,7163
12329,6827
11040,7250
8217,6858
2042,8236
2004,8778
2572,6706
3230,6640
3660,6378
10904,6584
12841,6323
1963,6625
2861,6639
4158,6331
12937,6991
11594,7156
8669,6597
3076,7278
2825,8543
2148,9425
2378,6350
2101,7147
2409,6477
8520,6462
10639,6718
12071,6605
12241,7095
10860,7126
8099,6551
4345,8006
3326,9496
2148,10030
3926,6714
3762,8281
3083,8506
2123,7569
4216,6417
6004,7231
7873,7832
9503,7998
10489,7720
10397,7170
9003,7147
6664,6307
6191,6979
4759,8849
3098,9954
6009,7995
5318,9040
4028,8472
2583,6822
2025,6865
2001,8106
1943,9246
1906,10044
3629,7330
5000,8442
6337,9148
7401,9288
7934,8933
7692,7999
6580,7066
6016,7631
4005,9322
2340,10496
7883,8187
6456,8588
4487,7332
2197,7262
2053,8481
2016,9575
1912,10288
1986,6897
2419,7655
2584,7956
3470,9387
4283,10190
4869,10496
5091,9842
4857,8726
4203,7037
4611,8233
2824,10073
8565,6855
6579,6752
3572,6474
3013,7534
2192,8708
1911,9569
2127,7104
2784,6265
2886,7037
2075,9917
2493,10921
2722,11214
2822,10487
2790,8995
2473,7107
4824,6965
3160,9222
1961,11232
2280,6644
3855,6530
4521,6770
3806,7846
2733,8774
1980,6323
2635,6379
2022,7612
3461,8145
2363,10653
2753,7842
4382,7532
6178,6985
7804,6240
5182,7053
4319,7916
3094,8581
1914,8791
3729,7089
2917,9900
2434,11770
2446,11675
2357,9568
2151,6418
2061,8718
3294,8795
4891,8385
6502,7720
7856,6855
5703,6502
5438,7495
4352,8269
3121,8710
2271,8678
2183,8485
2717,6350
3827,6546
4123,6725
3858,6605
3144,6304
4014,6962
4069,6323
3545,8679
3263,10329
3444,10270
3588,8294
2650,9150
3907,9226
5408,8873
6798,8226
7855,7409
8573,6279
4994,6723
4805,7749
3895,8446
2885,8837
2800,8739
2358,8204
1947,9888
2157,10628
2895,10156
3571,8530
4308,6358
3182,7275
4318,8024
5100,8432
5200,8517
4623,8384
3563,7878
2700,7165
2238,6450
3926,7459
3890,8725
3824,8110
3749,6563
4128,7270
4338,8721
4695,8480
5070,6710
2210,8218
3221,8742
4517,8914
5876,8757
7031,8267
7847,7640
8345,6646
3679,6706
3604,7905
3001,8768
3003,9172
3023,9023
2790,8288
2784,9840
3302,10694
4325,10084
5192,8415
6011,6266
2977,6420
2957,7851
4014,8936
5383,9550
6179,9978
6384,10134
5654,9925
4281,9351
2793,8400
2173,7404
3845,7289
3732,8673
3579,8341
4118,7121
6141,6548
6367,6956
6254,6577
2413,6258
3473,6261
5101,6559
6416,6903
6870,7139
6245,7123
4828,7078
3203,6972
5299,7102
5987,6823
2557,7021
3666,7467
4989,7733
6193,7799
7139,7592
7750,7142
8088,6422
2362,6350
2589,7721
2881,8718
3118,9183
3153,9031
3167,8259
3376,9619
4268,10403
5341,9732
6356,8122
3146,6244
3052,7913
2923,9168
4569,9892
6063,10535
7149,10870
7344,11002
6516,10920
4973,10492
3278,9555
2151,8126
3435,6873
4040,7056
5036,6480
8637,6552
9004,7111
8843,7113
8361,6682
3882,6645
5366,7470
6342,8385
6338,9111
5376,9425
3896,9537
2454,9525
2077,8042
2275,8008
2325,7197
2824,7085
3067,8196
3218,8733
3211,8592
3302,7904
3735,9040
4662,9784
5583,9174
6587,7614
2950,7334
2663,8780
3066,9717
4781,10338
6401,10728
7594,11078
7847,11285
7065,11287
5520,11069
3747,10299
2251,8746
11143,6538
10747,6459
5436,7041
